trial,sites(stage:symbol:component:bit;...)
0,1:0:0:0
1,1:0:0:1
2,1:0:0:2
3,1:0:0:3
4,1:0:0:4
5,1:0:0:5
6,1:0:0:6
7,1:0:0:7
8,1:0:0:8
9,1:0:0:9
10,1:0:0:10
11,1:0:0:11
12,1:0:0:12
13,1:0:0:13
14,1:0:1:0
15,1:0:1:1
16,2:0:0:0
17,2:0:0:1
18,2:0:1:0
19,2:0:1:1
20,3:0:0:0
21,3:0:0:1
22,3:0:1:0
23,3:0:1:1
24,1:4:0:0
25,1:4:0:1
26,1:4:1:0
27,1:4:1:1
28,2:4:0:0
29,2:4:0:1
30,2:4:1:0
31,2:4:1:1
32,3:4:0:0
33,3:4:0:1
34,3:4:1:0
35,3:4:1:1
