architecture_id,architecture,top,status,baseline_id,lut,lut_delta,lut_delta_percent,ff,ff_delta,ff_delta_percent,dsp,dsp_delta,dsp_delta_percent,bram18,bram18_delta,bram18_delta_percent,bram36,bram36_delta,bram36_delta_percent,bram36_equivalent,bram36_equivalent_delta,bram36_equivalent_delta_percent,raw_lut_cells,distributed_memory_cells_total,script_sha256,log_sha256,netlist_sha256
S0,Unprotected SubFFT baseline,top_s0_subfft_unprotected,VERIFIED,S0,26330,0,0.0,4162,0,0.0,576,0,0.0,0,0,0.0,4,0,0.0,4.0,0.0,0.0,35663,372,30FDCECA731C6F4C5B98AA11B3BA603D1C09C4BE970F38EA4C72FC420E3751CA,0617DD585E9F33C33E04BD096DB6200078F20BFB58DBB08FC5F3B444FFF0408C,37162D04A16D0DE2FA94BF0605DA55960F7003ECEA2F7AA575AA4AF893C65C96
S1,Gao SubFFT ECC,top_s1_gao_subfft_ecc,VERIFIED,S0,52788,26458,100.4861374857577,8666,4504,108.21720326765978,1088,512,88.88888888888889,0,0,0.0,7,3,75.0,7.0,3.0,75.0,71432,651,E3F31291A95B263FB60731B0A2171589B9C92A1425EF37485D2349DA1F7DFDF5,9BD9298A723D03B749C11ADE25BBCBB0662DCDF1D46BC8B1F7FD71178C374434,9712F7443B3212CC0862FB0C54F6AA55D7D4DDE6CCED0ED4E707F45E1230509C
S2,SubFFT per-stage full TMR,top_s2_subfft_tmr,VERIFIED,S0,80399,54069,205.3513102924421,12486,8324,200.0,1728,1152,200.0,0,0,0.0,12,8,200.0,12.0,8.0,200.0,109809,1116,23379C8E42493B91FF5851D1CE2BAEE37EC12B72E5D333BA5ED6E3A249054F56,7B97EFF1FDA2A07AB0B6E12F8210A831A7EC33659D96113683FDB07ABB06596A,74E9615E2C1CF7508B4492FA710A2BEB9804A2911B50BF6FD6E94485E8642E27
S3,Proposed SubFFT per-stage ECC,top_s3_subfft_ecc,VERIFIED,S0,175749,149419,567.485757690847,5972,1810,43.4887073522345,2496,1920,333.3333333333333,12,12,,0,-4,-100.0,6.0,2.0,50.0,218338,404,C3BB79639D0134D9CD309BA5FF9B55EB0C0A1B20FA3201F0E436D5787B0251BC,D04C40C55F55E2FEE30C32A11F22B74A61A3D966070C51FD462C334694C52B97,BFABE4E15A7F12C7D74FA0B598064352E8280CA1AE80F5A962EF2531B21E03AD
