beat,stage,boundary,res0r,res0i,res1r,res1i
146,3,lower,x,x,x,x
146,4,upper,x,x,x,x
146,4,lower,x,x,x,x
146,5,upper,x,x,x,x
146,5,lower,x,x,x,x
146,6,upper,x,x,x,x
146,6,lower,x,x,x,x
146,7,upper,x,x,x,x
146,7,lower,x,x,x,x
146,8,upper,x,x,x,x
146,8,lower,x,x,x,x
147,1,upper,0,0,0,0
147,1,lower,0,0,0,0
147,2,upper,x,x,x,x
147,2,lower,x,x,x,x
147,3,upper,x,x,x,x
147,3,lower,x,x,x,x
147,4,upper,x,x,x,x
147,4,lower,x,x,x,x
147,5,upper,x,x,x,x
147,5,lower,x,x,x,x
147,6,upper,x,x,x,x
147,6,lower,x,x,x,x
147,7,upper,x,x,x,x
147,7,lower,x,x,x,x
147,8,upper,x,x,x,x
147,8,lower,x,x,x,x
148,1,upper,0,0,0,0
148,1,lower,0,0,0,0
148,2,upper,x,x,x,x
148,2,lower,x,x,x,x
148,3,upper,x,x,x,x
148,3,lower,x,x,x,x
148,4,upper,x,x,x,x
148,4,lower,x,x,x,x
148,5,upper,x,x,x,x
148,5,lower,x,x,x,x
148,6,upper,x,x,x,x
148,6,lower,x,x,x,x
148,7,upper,x,x,x,x
148,7,lower,x,x,x,x
148,8,upper,x,x,x,x
148,8,lower,x,x,x,x
149,1,upper,0,0,0,0
149,1,lower,0,0,0,0
149,2,upper,x,x,x,x
149,2,lower,x,x,x,x
149,3,upper,x,x,x,x
149,3,lower,x,x,x,x
149,4,upper,x,x,x,x
149,4,lower,x,x,x,x
149,5,upper,x,x,x,x
149,5,lower,x,x,x,x
149,6,upper,x,x,x,x
149,6,lower,x,x,x,x
149,7,upper,x,x,x,x
149,7,lower,x,x,x,x
149,8,upper,x,x,x,x
149,8,lower,x,x,x,x
150,1,upper,0,0,0,0
150,1,lower,0,0,0,0
150,2,upper,x,x,x,x
150,2,lower,x,x,x,x
150,3,upper,x,x,x,x
150,3,lower,x,x,x,x
150,4,upper,x,x,x,x
150,4,lower,x,x,x,x
150,5,upper,x,x,x,x
150,5,lower,x,x,x,x
150,6,upper,x,x,x,x
150,6,lower,x,x,x,x
150,7,upper,x,x,x,x
150,7,lower,x,x,x,x
150,8,upper,x,x,x,x
150,8,lower,x,x,x,x
151,1,upper,0,0,0,0
151,1,lower,0,0,0,0
151,2,upper,x,x,x,x
151,2,lower,x,x,x,x
151,3,upper,x,x,x,x
151,3,lower,x,x,x,x
151,4,upper,x,x,x,x
151,4,lower,x,x,x,x
151,5,upper,x,x,x,x
151,5,lower,x,x,x,x
151,6,upper,x,x,x,x
151,6,lower,x,x,x,x
151,7,upper,x,x,x,x
151,7,lower,x,x,x,x
151,8,upper,x,x,x,x
151,8,lower,x,x,x,x
152,1,upper,0,0,0,0
152,1,lower,0,0,0,0
152,2,upper,x,x,x,x
152,2,lower,x,x,x,x
152,3,upper,x,x,x,x
152,3,lower,x,x,x,x
152,4,upper,x,x,x,x
152,4,lower,x,x,x,x
152,5,upper,x,x,x,x
152,5,lower,x,x,x,x
152,6,upper,x,x,x,x
152,6,lower,x,x,x,x
152,7,upper,x,x,x,x
152,7,lower,x,x,x,x
152,8,upper,x,x,x,x
152,8,lower,x,x,x,x
153,1,upper,0,0,0,0
153,1,lower,0,0,0,0
153,2,upper,x,x,x,x
153,2,lower,x,x,x,x
153,3,upper,x,x,x,x
153,3,lower,x,x,x,x
153,4,upper,x,x,x,x
153,4,lower,x,x,x,x
153,5,upper,x,x,x,x
153,5,lower,x,x,x,x
153,6,upper,x,x,x,x
153,6,lower,x,x,x,x
153,7,upper,x,x,x,x
153,7,lower,x,x,x,x
153,8,upper,x,x,x,x
153,8,lower,x,x,x,x
154,1,upper,0,0,0,0
154,1,lower,0,0,0,0
154,2,upper,x,x,x,x
154,2,lower,x,x,x,x
154,3,upper,x,x,x,x
154,3,lower,x,x,x,x
154,4,upper,x,x,x,x
154,4,lower,x,x,x,x
154,5,upper,x,x,x,x
154,5,lower,x,x,x,x
154,6,upper,x,x,x,x
154,6,lower,x,x,x,x
154,7,upper,x,x,x,x
154,7,lower,x,x,x,x
154,8,upper,x,x,x,x
154,8,lower,x,x,x,x
155,1,upper,0,0,0,0
155,1,lower,0,0,0,0
155,2,upper,x,x,x,x
155,2,lower,x,x,x,x
155,3,upper,x,x,x,x
155,3,lower,x,x,x,x
155,4,upper,x,x,x,x
155,4,lower,x,x,x,x
155,5,upper,x,x,x,x
155,5,lower,x,x,x,x
155,6,upper,x,x,x,x
155,6,lower,x,x,x,x
155,7,upper,x,x,x,x
155,7,lower,x,x,x,x
155,8,upper,x,x,x,x
155,8,lower,x,x,x,x
156,1,upper,0,0,0,0
156,1,lower,0,0,0,0
156,2,upper,x,x,x,x
156,2,lower,x,x,x,x
156,3,upper,x,x,x,x
156,3,lower,x,x,x,x
156,4,upper,x,x,x,x
156,4,lower,x,x,x,x
156,5,upper,x,x,x,x
156,5,lower,x,x,x,x
156,6,upper,x,x,x,x
156,6,lower,x,x,x,x
156,7,upper,x,x,x,x
156,7,lower,x,x,x,x
156,8,upper,x,x,x,x
156,8,lower,x,x,x,x
157,1,upper,0,0,0,0
157,1,lower,0,0,0,0
157,2,upper,x,x,x,x
157,2,lower,x,x,x,x
157,3,upper,x,x,x,x
157,3,lower,x,x,x,x
157,4,upper,x,x,x,x
157,4,lower,x,x,x,x
157,5,upper,x,x,x,x
157,5,lower,x,x,x,x
157,6,upper,x,x,x,x
157,6,lower,x,x,x,x
157,7,upper,x,x,x,x
157,7,lower,x,x,x,x
157,8,upper,x,x,x,x
157,8,lower,x,x,x,x
158,1,upper,0,0,0,0
158,1,lower,0,0,0,0
158,2,upper,x,x,x,x
158,2,lower,x,x,x,x
158,3,upper,x,x,x,x
158,3,lower,x,x,x,x
158,4,upper,x,x,x,x
158,4,lower,x,x,x,x
158,5,upper,x,x,x,x
158,5,lower,x,x,x,x
158,6,upper,x,x,x,x
158,6,lower,x,x,x,x
158,7,upper,x,x,x,x
158,7,lower,x,x,x,x
158,8,upper,x,x,x,x
158,8,lower,x,x,x,x
159,1,upper,0,0,0,0
159,1,lower,0,0,0,0
159,2,upper,x,x,x,x
159,2,lower,x,x,x,x
159,3,upper,x,x,x,x
159,3,lower,x,x,x,x
159,4,upper,x,x,x,x
159,4,lower,x,x,x,x
159,5,upper,x,x,x,x
159,5,lower,x,x,x,x
159,6,upper,x,x,x,x
159,6,lower,x,x,x,x
159,7,upper,x,x,x,x
159,7,lower,x,x,x,x
159,8,upper,x,x,x,x
159,8,lower,x,x,x,x
160,1,upper,0,0,0,0
160,1,lower,0,0,0,0
160,2,upper,x,x,x,x
160,2,lower,x,x,x,x
160,3,upper,x,x,x,x
160,3,lower,x,x,x,x
160,4,upper,x,x,x,x
160,4,lower,x,x,x,x
160,5,upper,x,x,x,x
160,5,lower,x,x,x,x
160,6,upper,x,x,x,x
160,6,lower,x,x,x,x
160,7,upper,x,x,x,x
160,7,lower,x,x,x,x
160,8,upper,x,x,x,x
160,8,lower,x,x,x,x
161,1,upper,0,0,0,0
161,1,lower,0,0,0,0
161,2,upper,x,x,x,x
161,2,lower,x,x,x,x
161,3,upper,x,x,x,x
161,3,lower,x,x,x,x
161,4,upper,x,x,x,x
161,4,lower,x,x,x,x
161,5,upper,x,x,x,x
161,5,lower,x,x,x,x
161,6,upper,x,x,x,x
161,6,lower,x,x,x,x
161,7,upper,x,x,x,x
161,7,lower,x,x,x,x
161,8,upper,x,x,x,x
161,8,lower,x,x,x,x
162,1,upper,0,0,0,0
162,1,lower,0,0,0,0
162,2,upper,x,x,x,x
162,2,lower,x,x,x,x
162,3,upper,x,x,x,x
162,3,lower,x,x,x,x
162,4,upper,x,x,x,x
162,4,lower,x,x,x,x
162,5,upper,x,x,x,x
162,5,lower,x,x,x,x
162,6,upper,x,x,x,x
162,6,lower,x,x,x,x
162,7,upper,x,x,x,x
162,7,lower,x,x,x,x
162,8,upper,x,x,x,x
162,8,lower,x,x,x,x
163,1,upper,0,0,0,0
163,1,lower,0,0,0,0
163,2,upper,x,x,x,x
163,2,lower,x,x,x,x
163,3,upper,x,x,x,x
163,3,lower,x,x,x,x
163,4,upper,x,x,x,x
163,4,lower,x,x,x,x
163,5,upper,x,x,x,x
163,5,lower,x,x,x,x
163,6,upper,x,x,x,x
163,6,lower,x,x,x,x
163,7,upper,x,x,x,x
163,7,lower,x,x,x,x
163,8,upper,x,x,x,x
163,8,lower,x,x,x,x
164,1,upper,0,0,0,0
164,1,lower,0,0,0,0
164,2,upper,x,x,x,x
164,2,lower,x,x,x,x
164,3,upper,x,x,x,x
164,3,lower,x,x,x,x
164,4,upper,x,x,x,x
164,4,lower,x,x,x,x
164,5,upper,x,x,x,x
164,5,lower,x,x,x,x
164,6,upper,x,x,x,x
164,6,lower,x,x,x,x
164,7,upper,x,x,x,x
164,7,lower,x,x,x,x
164,8,upper,x,x,x,x
164,8,lower,x,x,x,x
165,1,upper,0,0,0,0
165,1,lower,0,0,0,0
165,2,upper,x,x,x,x
165,2,lower,x,x,x,x
165,3,upper,x,x,x,x
165,3,lower,x,x,x,x
165,4,upper,x,x,x,x
165,4,lower,x,x,x,x
165,5,upper,x,x,x,x
165,5,lower,x,x,x,x
165,6,upper,x,x,x,x
165,6,lower,x,x,x,x
165,7,upper,x,x,x,x
165,7,lower,x,x,x,x
165,8,upper,x,x,x,x
165,8,lower,x,x,x,x
166,1,upper,0,0,0,0
166,1,lower,0,0,0,0
166,2,upper,x,x,x,x
166,2,lower,x,x,x,x
166,3,upper,x,x,x,x
166,3,lower,x,x,x,x
166,4,upper,x,x,x,x
166,4,lower,x,x,x,x
166,5,upper,x,x,x,x
166,5,lower,x,x,x,x
166,6,upper,x,x,x,x
166,6,lower,x,x,x,x
166,7,upper,x,x,x,x
166,7,lower,x,x,x,x
166,8,upper,x,x,x,x
166,8,lower,x,x,x,x
167,1,upper,0,0,0,0
167,1,lower,0,0,0,0
167,2,upper,x,x,x,x
167,2,lower,x,x,x,x
167,3,upper,x,x,x,x
167,3,lower,x,x,x,x
167,4,upper,x,x,x,x
167,4,lower,x,x,x,x
167,5,upper,x,x,x,x
167,5,lower,x,x,x,x
167,6,upper,x,x,x,x
167,6,lower,x,x,x,x
167,7,upper,x,x,x,x
167,7,lower,x,x,x,x
167,8,upper,x,x,x,x
167,8,lower,x,x,x,x
168,1,upper,0,0,0,0
168,1,lower,0,0,0,0
168,2,upper,x,x,x,x
168,2,lower,x,x,x,x
168,3,upper,x,x,x,x
168,3,lower,x,x,x,x
168,4,upper,x,x,x,x
168,4,lower,x,x,x,x
168,5,upper,x,x,x,x
168,5,lower,x,x,x,x
168,6,upper,x,x,x,x
168,6,lower,x,x,x,x
168,7,upper,x,x,x,x
168,7,lower,x,x,x,x
168,8,upper,x,x,x,x
168,8,lower,x,x,x,x
169,1,upper,0,0,0,0
169,1,lower,0,0,0,0
169,2,upper,x,x,x,x
169,2,lower,x,x,x,x
169,3,upper,x,x,x,x
169,3,lower,x,x,x,x
169,4,upper,x,x,x,x
169,4,lower,x,x,x,x
169,5,upper,x,x,x,x
169,5,lower,x,x,x,x
169,6,upper,x,x,x,x
169,6,lower,x,x,x,x
169,7,upper,x,x,x,x
169,7,lower,x,x,x,x
169,8,upper,x,x,x,x
169,8,lower,x,x,x,x
170,1,upper,0,0,0,0
170,1,lower,0,0,0,0
170,2,upper,x,x,x,x
170,2,lower,x,x,x,x
170,3,upper,x,x,x,x
170,3,lower,x,x,x,x
170,4,upper,x,x,x,x
170,4,lower,x,x,x,x
170,5,upper,x,x,x,x
170,5,lower,x,x,x,x
170,6,upper,x,x,x,x
170,6,lower,x,x,x,x
170,7,upper,x,x,x,x
170,7,lower,x,x,x,x
170,8,upper,x,x,x,x
170,8,lower,x,x,x,x
171,1,upper,0,0,0,0
171,1,lower,0,0,0,0
171,2,upper,x,x,x,x
171,2,lower,x,x,x,x
171,3,upper,x,x,x,x
171,3,lower,x,x,x,x
171,4,upper,x,x,x,x
171,4,lower,x,x,x,x
171,5,upper,x,x,x,x
171,5,lower,x,x,x,x
171,6,upper,x,x,x,x
171,6,lower,x,x,x,x
171,7,upper,x,x,x,x
171,7,lower,x,x,x,x
171,8,upper,x,x,x,x
171,8,lower,x,x,x,x
172,1,upper,0,0,0,0
172,1,lower,0,0,0,0
172,2,upper,x,x,x,x
172,2,lower,x,x,x,x
172,3,upper,x,x,x,x
172,3,lower,x,x,x,x
172,4,upper,x,x,x,x
172,4,lower,x,x,x,x
172,5,upper,x,x,x,x
172,5,lower,x,x,x,x
172,6,upper,x,x,x,x
172,6,lower,x,x,x,x
172,7,upper,x,x,x,x
172,7,lower,x,x,x,x
172,8,upper,x,x,x,x
172,8,lower,x,x,x,x
173,1,upper,0,0,0,0
173,1,lower,0,0,0,0
173,2,upper,x,x,x,x
173,2,lower,x,x,x,x
173,3,upper,x,x,x,x
173,3,lower,x,x,x,x
173,4,upper,x,x,x,x
173,4,lower,x,x,x,x
173,5,upper,x,x,x,x
173,5,lower,x,x,x,x
173,6,upper,x,x,x,x
173,6,lower,x,x,x,x
173,7,upper,x,x,x,x
173,7,lower,x,x,x,x
173,8,upper,x,x,x,x
173,8,lower,x,x,x,x
174,1,upper,0,0,0,0
174,1,lower,0,0,0,0
174,2,upper,x,x,x,x
174,2,lower,x,x,x,x
174,3,upper,x,x,x,x
174,3,lower,x,x,x,x
174,4,upper,x,x,x,x
174,4,lower,x,x,x,x
174,5,upper,x,x,x,x
174,5,lower,x,x,x,x
174,6,upper,x,x,x,x
174,6,lower,x,x,x,x
174,7,upper,x,x,x,x
174,7,lower,x,x,x,x
174,8,upper,x,x,x,x
174,8,lower,x,x,x,x
175,1,upper,0,0,0,0
175,1,lower,0,0,0,0
175,2,upper,x,x,x,x
175,2,lower,x,x,x,x
175,3,upper,x,x,x,x
175,3,lower,x,x,x,x
175,4,upper,x,x,x,x
175,4,lower,x,x,x,x
175,5,upper,x,x,x,x
175,5,lower,x,x,x,x
175,6,upper,x,x,x,x
175,6,lower,x,x,x,x
175,7,upper,x,x,x,x
175,7,lower,x,x,x,x
175,8,upper,x,x,x,x
175,8,lower,x,x,x,x
176,1,upper,0,0,0,0
176,1,lower,0,0,0,0
176,2,upper,x,x,x,x
176,2,lower,x,x,x,x
176,3,upper,x,x,x,x
176,3,lower,x,x,x,x
176,4,upper,x,x,x,x
176,4,lower,x,x,x,x
176,5,upper,x,x,x,x
176,5,lower,x,x,x,x
176,6,upper,x,x,x,x
176,6,lower,x,x,x,x
176,7,upper,x,x,x,x
176,7,lower,x,x,x,x
176,8,upper,x,x,x,x
176,8,lower,x,x,x,x
177,1,upper,0,0,0,0
177,1,lower,0,0,0,0
177,2,upper,x,x,x,x
177,2,lower,x,x,x,x
177,3,upper,x,x,x,x
177,3,lower,x,x,x,x
177,4,upper,x,x,x,x
177,4,lower,x,x,x,x
177,5,upper,x,x,x,x
177,5,lower,x,x,x,x
177,6,upper,x,x,x,x
177,6,lower,x,x,x,x
177,7,upper,x,x,x,x
177,7,lower,x,x,x,x
177,8,upper,x,x,x,x
177,8,lower,x,x,x,x
178,1,upper,0,0,0,0
178,1,lower,0,0,0,0
178,2,upper,x,x,x,x
178,2,lower,x,x,x,x
178,3,upper,x,x,x,x
178,3,lower,x,x,x,x
178,4,upper,x,x,x,x
178,4,lower,x,x,x,x
178,5,upper,x,x,x,x
178,5,lower,x,x,x,x
178,6,upper,x,x,x,x
178,6,lower,x,x,x,x
178,7,upper,x,x,x,x
178,7,lower,x,x,x,x
178,8,upper,x,x,x,x
178,8,lower,x,x,x,x
179,1,upper,0,0,0,0
179,1,lower,0,0,0,0
179,2,upper,x,x,x,x
179,2,lower,x,x,x,x
179,3,upper,x,x,x,x
179,3,lower,x,x,x,x
179,4,upper,x,x,x,x
179,4,lower,x,x,x,x
179,5,upper,x,x,x,x
179,5,lower,x,x,x,x
179,6,upper,x,x,x,x
179,6,lower,x,x,x,x
179,7,upper,x,x,x,x
179,7,lower,x,x,x,x
179,8,upper,x,x,x,x
179,8,lower,x,x,x,x
180,1,upper,0,0,0,0
180,1,lower,0,0,0,0
180,2,upper,x,x,x,x
180,2,lower,x,x,x,x
180,3,upper,x,x,x,x
180,3,lower,x,x,x,x
180,4,upper,x,x,x,x
180,4,lower,x,x,x,x
180,5,upper,x,x,x,x
180,5,lower,x,x,x,x
180,6,upper,x,x,x,x
180,6,lower,x,x,x,x
180,7,upper,x,x,x,x
180,7,lower,x,x,x,x
180,8,upper,x,x,x,x
180,8,lower,x,x,x,x
181,1,upper,0,0,0,0
181,1,lower,0,0,0,0
181,2,upper,x,x,x,x
181,2,lower,x,x,x,x
181,3,upper,x,x,x,x
181,3,lower,x,x,x,x
181,4,upper,x,x,x,x
181,4,lower,x,x,x,x
181,5,upper,x,x,x,x
181,5,lower,x,x,x,x
181,6,upper,x,x,x,x
181,6,lower,x,x,x,x
181,7,upper,x,x,x,x
181,7,lower,x,x,x,x
181,8,upper,x,x,x,x
181,8,lower,x,x,x,x
182,1,upper,0,0,0,0
182,1,lower,0,0,0,0
182,2,upper,x,x,x,x
182,2,lower,x,x,x,x
182,3,upper,x,x,x,x
182,3,lower,x,x,x,x
182,4,upper,x,x,x,x
182,4,lower,x,x,x,x
182,5,upper,x,x,x,x
182,5,lower,x,x,x,x
182,6,upper,x,x,x,x
182,6,lower,x,x,x,x
182,7,upper,x,x,x,x
182,7,lower,x,x,x,x
182,8,upper,x,x,x,x
182,8,lower,x,x,x,x
183,1,upper,0,0,0,0
183,1,lower,0,0,0,0
183,2,upper,x,x,x,x
183,2,lower,x,x,x,x
183,3,upper,x,x,x,x
183,3,lower,x,x,x,x
183,4,upper,x,x,x,x
183,4,lower,x,x,x,x
183,5,upper,x,x,x,x
183,5,lower,x,x,x,x
183,6,upper,x,x,x,x
183,6,lower,x,x,x,x
183,7,upper,x,x,x,x
183,7,lower,x,x,x,x
183,8,upper,x,x,x,x
183,8,lower,x,x,x,x
184,1,upper,0,0,0,0
184,1,lower,0,0,0,0
184,2,upper,x,x,x,x
184,2,lower,x,x,x,x
184,3,upper,x,x,x,x
184,3,lower,x,x,x,x
184,4,upper,x,x,x,x
184,4,lower,x,x,x,x
184,5,upper,x,x,x,x
184,5,lower,x,x,x,x
184,6,upper,x,x,x,x
184,6,lower,x,x,x,x
184,7,upper,x,x,x,x
184,7,lower,x,x,x,x
184,8,upper,x,x,x,x
184,8,lower,x,x,x,x
185,1,upper,0,0,0,0
185,1,lower,0,0,0,0
185,2,upper,x,x,x,x
185,2,lower,x,x,x,x
185,3,upper,x,x,x,x
185,3,lower,x,x,x,x
185,4,upper,x,x,x,x
185,4,lower,x,x,x,x
185,5,upper,x,x,x,x
185,5,lower,x,x,x,x
185,6,upper,x,x,x,x
185,6,lower,x,x,x,x
185,7,upper,x,x,x,x
185,7,lower,x,x,x,x
185,8,upper,x,x,x,x
185,8,lower,x,x,x,x
186,1,upper,0,0,0,0
186,1,lower,0,0,0,0
186,2,upper,x,x,x,x
186,2,lower,x,x,x,x
186,3,upper,x,x,x,x
186,3,lower,x,x,x,x
186,4,upper,x,x,x,x
186,4,lower,x,x,x,x
186,5,upper,x,x,x,x
186,5,lower,x,x,x,x
186,6,upper,x,x,x,x
186,6,lower,x,x,x,x
186,7,upper,x,x,x,x
186,7,lower,x,x,x,x
186,8,upper,x,x,x,x
186,8,lower,x,x,x,x
187,1,upper,0,0,0,0
187,1,lower,0,0,0,0
187,2,upper,x,x,x,x
187,2,lower,x,x,x,x
187,3,upper,x,x,x,x
187,3,lower,x,x,x,x
187,4,upper,x,x,x,x
187,4,lower,x,x,x,x
187,5,upper,x,x,x,x
187,5,lower,x,x,x,x
187,6,upper,x,x,x,x
187,6,lower,x,x,x,x
187,7,upper,x,x,x,x
187,7,lower,x,x,x,x
187,8,upper,x,x,x,x
187,8,lower,x,x,x,x
188,1,upper,0,0,0,0
188,1,lower,0,0,0,0
188,2,upper,x,x,x,x
188,2,lower,x,x,x,x
188,3,upper,x,x,x,x
188,3,lower,x,x,x,x
188,4,upper,x,x,x,x
188,4,lower,x,x,x,x
188,5,upper,x,x,x,x
188,5,lower,x,x,x,x
188,6,upper,x,x,x,x
188,6,lower,x,x,x,x
188,7,upper,x,x,x,x
188,7,lower,x,x,x,x
188,8,upper,x,x,x,x
188,8,lower,x,x,x,x
189,1,upper,0,0,0,0
189,1,lower,0,0,0,0
189,2,upper,x,x,x,x
189,2,lower,x,x,x,x
189,3,upper,x,x,x,x
189,3,lower,x,x,x,x
189,4,upper,x,x,x,x
189,4,lower,x,x,x,x
189,5,upper,x,x,x,x
189,5,lower,x,x,x,x
189,6,upper,x,x,x,x
189,6,lower,x,x,x,x
189,7,upper,x,x,x,x
189,7,lower,x,x,x,x
189,8,upper,x,x,x,x
189,8,lower,x,x,x,x
190,1,upper,0,0,0,0
190,1,lower,0,0,0,0
190,2,upper,x,x,x,x
190,2,lower,x,x,x,x
190,3,upper,x,x,x,x
190,3,lower,x,x,x,x
190,4,upper,x,x,x,x
190,4,lower,x,x,x,x
190,5,upper,x,x,x,x
190,5,lower,x,x,x,x
190,6,upper,x,x,x,x
190,6,lower,x,x,x,x
190,7,upper,x,x,x,x
190,7,lower,x,x,x,x
190,8,upper,x,x,x,x
190,8,lower,x,x,x,x
191,1,upper,0,0,0,0
191,1,lower,0,0,0,0
191,2,upper,x,x,x,x
191,2,lower,x,x,x,x
191,3,upper,x,x,x,x
191,3,lower,x,x,x,x
191,4,upper,x,x,x,x
191,4,lower,x,x,x,x
191,5,upper,x,x,x,x
191,5,lower,x,x,x,x
191,6,upper,x,x,x,x
191,6,lower,x,x,x,x
191,7,upper,x,x,x,x
191,7,lower,x,x,x,x
191,8,upper,x,x,x,x
191,8,lower,x,x,x,x
192,1,upper,0,0,0,0
192,1,lower,0,0,0,0
192,2,upper,x,x,x,x
192,2,lower,x,x,x,x
192,3,upper,x,x,x,x
192,3,lower,x,x,x,x
192,4,upper,x,x,x,x
192,4,lower,x,x,x,x
192,5,upper,x,x,x,x
192,5,lower,x,x,x,x
192,6,upper,x,x,x,x
192,6,lower,x,x,x,x
192,7,upper,x,x,x,x
192,7,lower,x,x,x,x
192,8,upper,x,x,x,x
192,8,lower,x,x,x,x
193,1,upper,0,0,0,0
193,1,lower,0,0,0,0
193,2,upper,0,0,0,0
193,2,lower,0,0,0,0
193,3,upper,x,x,x,x
193,3,lower,x,x,x,x
193,4,upper,x,x,x,x
193,4,lower,x,x,x,x
193,5,upper,x,x,x,x
193,5,lower,x,x,x,x
193,6,upper,x,x,x,x
193,6,lower,x,x,x,x
193,7,upper,x,x,x,x
193,7,lower,x,x,x,x
193,8,upper,x,x,x,x
193,8,lower,x,x,x,x
194,1,upper,0,0,0,0
194,1,lower,0,0,0,0
194,2,upper,0,0,0,0
194,2,lower,0,0,0,0
194,3,upper,x,x,x,x
194,3,lower,x,x,x,x
194,4,upper,x,x,x,x
194,4,lower,x,x,x,x
194,5,upper,x,x,x,x
194,5,lower,x,x,x,x
194,6,upper,x,x,x,x
194,6,lower,x,x,x,x
194,7,upper,x,x,x,x
194,7,lower,x,x,x,x
194,8,upper,x,x,x,x
194,8,lower,x,x,x,x
195,1,upper,0,0,0,0
195,1,lower,0,0,0,0
195,2,upper,0,0,0,0
195,2,lower,0,0,0,0
195,3,upper,x,x,x,x
195,3,lower,x,x,x,x
195,4,upper,x,x,x,x
195,4,lower,x,x,x,x
195,5,upper,x,x,x,x
195,5,lower,x,x,x,x
195,6,upper,x,x,x,x
195,6,lower,x,x,x,x
195,7,upper,x,x,x,x
195,7,lower,x,x,x,x
195,8,upper,x,x,x,x
195,8,lower,x,x,x,x
196,1,upper,0,0,0,0
196,1,lower,0,0,0,0
196,2,upper,0,0,0,0
196,2,lower,0,0,0,0
196,3,upper,x,x,x,x
196,3,lower,x,x,x,x
196,4,upper,x,x,x,x
196,4,lower,x,x,x,x
196,5,upper,x,x,x,x
196,5,lower,x,x,x,x
196,6,upper,x,x,x,x
196,6,lower,x,x,x,x
196,7,upper,x,x,x,x
196,7,lower,x,x,x,x
196,8,upper,x,x,x,x
196,8,lower,x,x,x,x
197,1,upper,0,0,0,0
197,1,lower,0,0,0,0
197,2,upper,0,0,0,0
197,2,lower,0,0,0,0
197,3,upper,x,x,x,x
197,3,lower,x,x,x,x
197,4,upper,x,x,x,x
197,4,lower,x,x,x,x
197,5,upper,x,x,x,x
197,5,lower,x,x,x,x
197,6,upper,x,x,x,x
197,6,lower,x,x,x,x
197,7,upper,x,x,x,x
197,7,lower,x,x,x,x
197,8,upper,x,x,x,x
197,8,lower,x,x,x,x
198,1,upper,0,0,0,0
198,1,lower,0,0,0,0
198,2,upper,0,0,0,0
198,2,lower,0,0,0,0
198,3,upper,x,x,x,x
198,3,lower,x,x,x,x
198,4,upper,x,x,x,x
198,4,lower,x,x,x,x
198,5,upper,x,x,x,x
198,5,lower,x,x,x,x
198,6,upper,x,x,x,x
198,6,lower,x,x,x,x
198,7,upper,x,x,x,x
198,7,lower,x,x,x,x
198,8,upper,x,x,x,x
198,8,lower,x,x,x,x
199,1,upper,0,0,0,0
199,1,lower,0,0,0,0
199,2,upper,0,0,0,0
199,2,lower,0,0,0,0
199,3,upper,x,x,x,x
199,3,lower,x,x,x,x
199,4,upper,x,x,x,x
199,4,lower,x,x,x,x
199,5,upper,x,x,x,x
199,5,lower,x,x,x,x
199,6,upper,x,x,x,x
199,6,lower,x,x,x,x
199,7,upper,x,x,x,x
199,7,lower,x,x,x,x
199,8,upper,x,x,x,x
199,8,lower,x,x,x,x
200,1,upper,0,0,0,0
200,1,lower,0,0,0,0
200,2,upper,0,0,0,0
200,2,lower,0,0,0,0
200,3,upper,x,x,x,x
200,3,lower,x,x,x,x
200,4,upper,x,x,x,x
200,4,lower,x,x,x,x
200,5,upper,x,x,x,x
200,5,lower,x,x,x,x
200,6,upper,x,x,x,x
200,6,lower,x,x,x,x
200,7,upper,x,x,x,x
200,7,lower,x,x,x,x
200,8,upper,x,x,x,x
200,8,lower,x,x,x,x
201,1,upper,0,0,0,0
201,1,lower,0,0,0,0
201,2,upper,0,0,0,0
201,2,lower,0,0,0,0
201,3,upper,x,x,x,x
201,3,lower,x,x,x,x
201,4,upper,x,x,x,x
201,4,lower,x,x,x,x
201,5,upper,x,x,x,x
201,5,lower,x,x,x,x
201,6,upper,x,x,x,x
201,6,lower,x,x,x,x
201,7,upper,x,x,x,x
201,7,lower,x,x,x,x
201,8,upper,x,x,x,x
201,8,lower,x,x,x,x
202,1,upper,0,0,0,0
202,1,lower,0,0,0,0
202,2,upper,0,0,0,0
202,2,lower,0,0,0,0
202,3,upper,x,x,x,x
202,3,lower,x,x,x,x
202,4,upper,x,x,x,x
202,4,lower,x,x,x,x
202,5,upper,x,x,x,x
202,5,lower,x,x,x,x
202,6,upper,x,x,x,x
202,6,lower,x,x,x,x
202,7,upper,x,x,x,x
202,7,lower,x,x,x,x
202,8,upper,x,x,x,x
202,8,lower,x,x,x,x
203,1,upper,0,0,0,0
203,1,lower,0,0,0,0
203,2,upper,0,0,0,0
203,2,lower,0,0,0,0
203,3,upper,x,x,x,x
203,3,lower,x,x,x,x
203,4,upper,x,x,x,x
203,4,lower,x,x,x,x
203,5,upper,x,x,x,x
203,5,lower,x,x,x,x
203,6,upper,x,x,x,x
203,6,lower,x,x,x,x
203,7,upper,x,x,x,x
203,7,lower,x,x,x,x
203,8,upper,x,x,x,x
203,8,lower,x,x,x,x
204,1,upper,0,0,0,0
204,1,lower,0,0,0,0
204,2,upper,0,0,0,0
204,2,lower,0,0,0,0
204,3,upper,x,x,x,x
204,3,lower,x,x,x,x
204,4,upper,x,x,x,x
204,4,lower,x,x,x,x
