beat,stage,boundary,res0r,res0i,res1r,res1i
11,5,upper,x,x,x,x
11,5,lower,x,x,x,x
11,6,upper,x,x,x,x
11,6,lower,x,x,x,x
11,7,upper,x,x,x,x
11,7,lower,x,x,x,x
11,8,upper,x,x,x,x
11,8,lower,x,x,x,x
12,1,upper,x,x,x,x
12,1,lower,x,x,x,x
12,2,upper,x,x,x,x
12,2,lower,x,x,x,x
12,3,upper,x,x,x,x
12,3,lower,x,x,x,x
12,4,upper,x,x,x,x
12,4,lower,x,x,x,x
12,5,upper,x,x,x,x
12,5,lower,x,x,x,x
12,6,upper,x,x,x,x
12,6,lower,x,x,x,x
12,7,upper,x,x,x,x
12,7,lower,x,x,x,x
12,8,upper,x,x,x,x
12,8,lower,x,x,x,x
13,1,upper,x,x,x,x
13,1,lower,x,x,x,x
13,2,upper,x,x,x,x
13,2,lower,x,x,x,x
13,3,upper,x,x,x,x
13,3,lower,x,x,x,x
13,4,upper,x,x,x,x
13,4,lower,x,x,x,x
13,5,upper,x,x,x,x
13,5,lower,x,x,x,x
13,6,upper,x,x,x,x
13,6,lower,x,x,x,x
13,7,upper,x,x,x,x
13,7,lower,x,x,x,x
13,8,upper,x,x,x,x
13,8,lower,x,x,x,x
14,1,upper,x,x,x,x
14,1,lower,x,x,x,x
14,2,upper,x,x,x,x
14,2,lower,x,x,x,x
14,3,upper,x,x,x,x
14,3,lower,x,x,x,x
14,4,upper,x,x,x,x
14,4,lower,x,x,x,x
14,5,upper,x,x,x,x
14,5,lower,x,x,x,x
14,6,upper,x,x,x,x
14,6,lower,x,x,x,x
14,7,upper,x,x,x,x
14,7,lower,x,x,x,x
14,8,upper,x,x,x,x
14,8,lower,x,x,x,x
15,1,upper,x,x,x,x
15,1,lower,x,x,x,x
15,2,upper,x,x,x,x
15,2,lower,x,x,x,x
15,3,upper,x,x,x,x
15,3,lower,x,x,x,x
15,4,upper,x,x,x,x
15,4,lower,x,x,x,x
15,5,upper,x,x,x,x
15,5,lower,x,x,x,x
15,6,upper,x,x,x,x
15,6,lower,x,x,x,x
15,7,upper,x,x,x,x
15,7,lower,x,x,x,x
15,8,upper,x,x,x,x
15,8,lower,x,x,x,x
16,1,upper,x,x,x,x
16,1,lower,x,x,x,x
16,2,upper,x,x,x,x
16,2,lower,x,x,x,x
16,3,upper,x,x,x,x
16,3,lower,x,x,x,x
16,4,upper,x,x,x,x
16,4,lower,x,x,x,x
16,5,upper,x,x,x,x
16,5,lower,x,x,x,x
16,6,upper,x,x,x,x
16,6,lower,x,x,x,x
16,7,upper,x,x,x,x
16,7,lower,x,x,x,x
16,8,upper,x,x,x,x
16,8,lower,x,x,x,x
17,1,upper,x,x,x,x
17,1,lower,x,x,x,x
17,2,upper,x,x,x,x
17,2,lower,x,x,x,x
17,3,upper,x,x,x,x
17,3,lower,x,x,x,x
17,4,upper,x,x,x,x
17,4,lower,x,x,x,x
17,5,upper,x,x,x,x
17,5,lower,x,x,x,x
17,6,upper,x,x,x,x
17,6,lower,x,x,x,x
17,7,upper,x,x,x,x
17,7,lower,x,x,x,x
17,8,upper,x,x,x,x
17,8,lower,x,x,x,x
18,1,upper,x,x,x,x
18,1,lower,x,x,x,x
18,2,upper,x,x,x,x
18,2,lower,x,x,x,x
18,3,upper,x,x,x,x
18,3,lower,x,x,x,x
18,4,upper,x,x,x,x
18,4,lower,x,x,x,x
18,5,upper,x,x,x,x
18,5,lower,x,x,x,x
18,6,upper,x,x,x,x
18,6,lower,x,x,x,x
18,7,upper,x,x,x,x
18,7,lower,x,x,x,x
18,8,upper,x,x,x,x
18,8,lower,x,x,x,x
19,1,upper,x,x,x,x
19,1,lower,x,x,x,x
19,2,upper,x,x,x,x
19,2,lower,x,x,x,x
19,3,upper,x,x,x,x
19,3,lower,x,x,x,x
19,4,upper,x,x,x,x
19,4,lower,x,x,x,x
19,5,upper,x,x,x,x
19,5,lower,x,x,x,x
19,6,upper,x,x,x,x
19,6,lower,x,x,x,x
19,7,upper,x,x,x,x
19,7,lower,x,x,x,x
19,8,upper,x,x,x,x
19,8,lower,x,x,x,x
20,1,upper,x,x,x,x
20,1,lower,x,x,x,x
20,2,upper,x,x,x,x
20,2,lower,x,x,x,x
20,3,upper,x,x,x,x
20,3,lower,x,x,x,x
20,4,upper,x,x,x,x
20,4,lower,x,x,x,x
20,5,upper,x,x,x,x
20,5,lower,x,x,x,x
20,6,upper,x,x,x,x
20,6,lower,x,x,x,x
20,7,upper,x,x,x,x
20,7,lower,x,x,x,x
20,8,upper,x,x,x,x
20,8,lower,x,x,x,x
21,1,upper,x,x,x,x
21,1,lower,x,x,x,x
21,2,upper,x,x,x,x
21,2,lower,x,x,x,x
21,3,upper,x,x,x,x
21,3,lower,x,x,x,x
21,4,upper,x,x,x,x
21,4,lower,x,x,x,x
21,5,upper,x,x,x,x
21,5,lower,x,x,x,x
21,6,upper,x,x,x,x
21,6,lower,x,x,x,x
21,7,upper,x,x,x,x
21,7,lower,x,x,x,x
21,8,upper,x,x,x,x
21,8,lower,x,x,x,x
22,1,upper,x,x,x,x
22,1,lower,x,x,x,x
22,2,upper,x,x,x,x
22,2,lower,x,x,x,x
22,3,upper,x,x,x,x
22,3,lower,x,x,x,x
22,4,upper,x,x,x,x
22,4,lower,x,x,x,x
22,5,upper,x,x,x,x
22,5,lower,x,x,x,x
22,6,upper,x,x,x,x
22,6,lower,x,x,x,x
22,7,upper,x,x,x,x
22,7,lower,x,x,x,x
22,8,upper,x,x,x,x
22,8,lower,x,x,x,x
23,1,upper,x,x,x,x
23,1,lower,x,x,x,x
23,2,upper,x,x,x,x
23,2,lower,x,x,x,x
23,3,upper,x,x,x,x
23,3,lower,x,x,x,x
23,4,upper,x,x,x,x
23,4,lower,x,x,x,x
23,5,upper,x,x,x,x
23,5,lower,x,x,x,x
23,6,upper,x,x,x,x
23,6,lower,x,x,x,x
23,7,upper,x,x,x,x
23,7,lower,x,x,x,x
23,8,upper,x,x,x,x
23,8,lower,x,x,x,x
24,1,upper,x,x,x,x
24,1,lower,x,x,x,x
24,2,upper,x,x,x,x
24,2,lower,x,x,x,x
24,3,upper,x,x,x,x
24,3,lower,x,x,x,x
24,4,upper,x,x,x,x
24,4,lower,x,x,x,x
24,5,upper,x,x,x,x
24,5,lower,x,x,x,x
24,6,upper,x,x,x,x
24,6,lower,x,x,x,x
24,7,upper,x,x,x,x
24,7,lower,x,x,x,x
24,8,upper,x,x,x,x
24,8,lower,x,x,x,x
25,1,upper,x,x,x,x
25,1,lower,x,x,x,x
25,2,upper,x,x,x,x
25,2,lower,x,x,x,x
25,3,upper,x,x,x,x
25,3,lower,x,x,x,x
25,4,upper,x,x,x,x
25,4,lower,x,x,x,x
25,5,upper,x,x,x,x
25,5,lower,x,x,x,x
25,6,upper,x,x,x,x
25,6,lower,x,x,x,x
25,7,upper,x,x,x,x
25,7,lower,x,x,x,x
25,8,upper,x,x,x,x
25,8,lower,x,x,x,x
26,1,upper,x,x,x,x
26,1,lower,x,x,x,x
26,2,upper,x,x,x,x
26,2,lower,x,x,x,x
26,3,upper,x,x,x,x
26,3,lower,x,x,x,x
26,4,upper,x,x,x,x
26,4,lower,x,x,x,x
26,5,upper,x,x,x,x
26,5,lower,x,x,x,x
26,6,upper,x,x,x,x
26,6,lower,x,x,x,x
26,7,upper,x,x,x,x
26,7,lower,x,x,x,x
26,8,upper,x,x,x,x
26,8,lower,x,x,x,x
27,1,upper,x,x,x,x
27,1,lower,x,x,x,x
27,2,upper,x,x,x,x
27,2,lower,x,x,x,x
27,3,upper,x,x,x,x
27,3,lower,x,x,x,x
27,4,upper,x,x,x,x
27,4,lower,x,x,x,x
27,5,upper,x,x,x,x
27,5,lower,x,x,x,x
27,6,upper,x,x,x,x
27,6,lower,x,x,x,x
27,7,upper,x,x,x,x
27,7,lower,x,x,x,x
27,8,upper,x,x,x,x
27,8,lower,x,x,x,x
28,1,upper,x,x,x,x
28,1,lower,x,x,x,x
28,2,upper,x,x,x,x
28,2,lower,x,x,x,x
28,3,upper,x,x,x,x
28,3,lower,x,x,x,x
28,4,upper,x,x,x,x
28,4,lower,x,x,x,x
28,5,upper,x,x,x,x
28,5,lower,x,x,x,x
28,6,upper,x,x,x,x
28,6,lower,x,x,x,x
28,7,upper,x,x,x,x
28,7,lower,x,x,x,x
28,8,upper,x,x,x,x
28,8,lower,x,x,x,x
29,1,upper,x,x,x,x
29,1,lower,x,x,x,x
29,2,upper,x,x,x,x
29,2,lower,x,x,x,x
29,3,upper,x,x,x,x
29,3,lower,x,x,x,x
29,4,upper,x,x,x,x
29,4,lower,x,x,x,x
29,5,upper,x,x,x,x
29,5,lower,x,x,x,x
29,6,upper,x,x,x,x
29,6,lower,x,x,x,x
29,7,upper,x,x,x,x
29,7,lower,x,x,x,x
29,8,upper,x,x,x,x
29,8,lower,x,x,x,x
30,1,upper,x,x,x,x
30,1,lower,x,x,x,x
30,2,upper,x,x,x,x
30,2,lower,x,x,x,x
30,3,upper,x,x,x,x
30,3,lower,x,x,x,x
30,4,upper,x,x,x,x
30,4,lower,x,x,x,x
30,5,upper,x,x,x,x
30,5,lower,x,x,x,x
30,6,upper,x,x,x,x
30,6,lower,x,x,x,x
30,7,upper,x,x,x,x
30,7,lower,x,x,x,x
30,8,upper,x,x,x,x
30,8,lower,x,x,x,x
31,1,upper,x,x,x,x
31,1,lower,x,x,x,x
31,2,upper,x,x,x,x
31,2,lower,x,x,x,x
31,3,upper,x,x,x,x
31,3,lower,x,x,x,x
31,4,upper,x,x,x,x
31,4,lower,x,x,x,x
31,5,upper,x,x,x,x
31,5,lower,x,x,x,x
31,6,upper,x,x,x,x
31,6,lower,x,x,x,x
31,7,upper,x,x,x,x
31,7,lower,x,x,x,x
31,8,upper,x,x,x,x
31,8,lower,x,x,x,x
32,1,upper,x,x,x,x
32,1,lower,x,x,x,x
32,2,upper,x,x,x,x
32,2,lower,x,x,x,x
32,3,upper,x,x,x,x
32,3,lower,x,x,x,x
32,4,upper,x,x,x,x
32,4,lower,x,x,x,x
32,5,upper,x,x,x,x
32,5,lower,x,x,x,x
32,6,upper,x,x,x,x
32,6,lower,x,x,x,x
32,7,upper,x,x,x,x
32,7,lower,x,x,x,x
32,8,upper,x,x,x,x
32,8,lower,x,x,x,x
33,1,upper,x,x,x,x
33,1,lower,x,x,x,x
33,2,upper,x,x,x,x
33,2,lower,x,x,x,x
33,3,upper,x,x,x,x
33,3,lower,x,x,x,x
33,4,upper,x,x,x,x
33,4,lower,x,x,x,x
33,5,upper,x,x,x,x
33,5,lower,x,x,x,x
33,6,upper,x,x,x,x
33,6,lower,x,x,x,x
33,7,upper,x,x,x,x
33,7,lower,x,x,x,x
33,8,upper,x,x,x,x
33,8,lower,x,x,x,x
34,1,upper,x,x,x,x
34,1,lower,x,x,x,x
34,2,upper,x,x,x,x
34,2,lower,x,x,x,x
34,3,upper,x,x,x,x
34,3,lower,x,x,x,x
34,4,upper,x,x,x,x
34,4,lower,x,x,x,x
34,5,upper,x,x,x,x
34,5,lower,x,x,x,x
34,6,upper,x,x,x,x
34,6,lower,x,x,x,x
34,7,upper,x,x,x,x
34,7,lower,x,x,x,x
34,8,upper,x,x,x,x
34,8,lower,x,x,x,x
35,1,upper,x,x,x,x
35,1,lower,x,x,x,x
35,2,upper,x,x,x,x
35,2,lower,x,x,x,x
35,3,upper,x,x,x,x
35,3,lower,x,x,x,x
35,4,upper,x,x,x,x
35,4,lower,x,x,x,x
35,5,upper,x,x,x,x
35,5,lower,x,x,x,x
35,6,upper,x,x,x,x
35,6,lower,x,x,x,x
35,7,upper,x,x,x,x
35,7,lower,x,x,x,x
35,8,upper,x,x,x,x
35,8,lower,x,x,x,x
36,1,upper,x,x,x,x
36,1,lower,x,x,x,x
36,2,upper,x,x,x,x
36,2,lower,x,x,x,x
36,3,upper,x,x,x,x
36,3,lower,x,x,x,x
36,4,upper,x,x,x,x
36,4,lower,x,x,x,x
36,5,upper,x,x,x,x
36,5,lower,x,x,x,x
36,6,upper,x,x,x,x
36,6,lower,x,x,x,x
36,7,upper,x,x,x,x
36,7,lower,x,x,x,x
36,8,upper,x,x,x,x
36,8,lower,x,x,x,x
37,1,upper,x,x,x,x
37,1,lower,x,x,x,x
37,2,upper,x,x,x,x
37,2,lower,x,x,x,x
37,3,upper,x,x,x,x
37,3,lower,x,x,x,x
37,4,upper,x,x,x,x
37,4,lower,x,x,x,x
37,5,upper,x,x,x,x
37,5,lower,x,x,x,x
37,6,upper,x,x,x,x
37,6,lower,x,x,x,x
37,7,upper,x,x,x,x
37,7,lower,x,x,x,x
37,8,upper,x,x,x,x
37,8,lower,x,x,x,x
38,1,upper,x,x,x,x
38,1,lower,x,x,x,x
38,2,upper,x,x,x,x
38,2,lower,x,x,x,x
38,3,upper,x,x,x,x
38,3,lower,x,x,x,x
38,4,upper,x,x,x,x
38,4,lower,x,x,x,x
38,5,upper,x,x,x,x
38,5,lower,x,x,x,x
38,6,upper,x,x,x,x
38,6,lower,x,x,x,x
38,7,upper,x,x,x,x
38,7,lower,x,x,x,x
38,8,upper,x,x,x,x
38,8,lower,x,x,x,x
39,1,upper,x,x,x,x
39,1,lower,x,x,x,x
39,2,upper,x,x,x,x
39,2,lower,x,x,x,x
39,3,upper,x,x,x,x
39,3,lower,x,x,x,x
39,4,upper,x,x,x,x
39,4,lower,x,x,x,x
39,5,upper,x,x,x,x
39,5,lower,x,x,x,x
39,6,upper,x,x,x,x
39,6,lower,x,x,x,x
39,7,upper,x,x,x,x
39,7,lower,x,x,x,x
39,8,upper,x,x,x,x
39,8,lower,x,x,x,x
40,1,upper,x,x,x,x
40,1,lower,x,x,x,x
40,2,upper,x,x,x,x
40,2,lower,x,x,x,x
40,3,upper,x,x,x,x
40,3,lower,x,x,x,x
40,4,upper,x,x,x,x
40,4,lower,x,x,x,x
40,5,upper,x,x,x,x
40,5,lower,x,x,x,x
