unit_id,hier_cell,ref_name,loc,bel,site,tile,grid_x,grid_y,stage_id,module_role,data_role,ecc_codeword_rule,ecc_symbol_rule,is_used,is_shared
111781,u/s7/mem3/g_async_distributed.mem_reg_0_1_6_11/RAMA_D1,RAMD32,SLICE_X30Y241,SLICEM.A6LUT,SLICE_X30Y241,CLBLM_L_X20Y241,81,482,,,,,,1,0
111782,u/s7/mem3/g_async_distributed.mem_reg_0_1_6_11/RAMB,RAMD32,SLICE_X30Y241,SLICEM.B5LUT,SLICE_X30Y241,CLBLM_L_X20Y241,81,482,,,,,,1,0
111783,u/s7/mem3/g_async_distributed.mem_reg_0_1_6_11/RAMB_D1,RAMD32,SLICE_X30Y241,SLICEM.B6LUT,SLICE_X30Y241,CLBLM_L_X20Y241,81,482,,,,,,1,0
111784,u/s7/mem3/g_async_distributed.mem_reg_0_1_6_11/RAMC,RAMD32,SLICE_X30Y241,SLICEM.C5LUT,SLICE_X30Y241,CLBLM_L_X20Y241,81,482,,,,,,1,0
111785,u/s7/mem3/g_async_distributed.mem_reg_0_1_6_11/RAMC_D1,RAMD32,SLICE_X30Y241,SLICEM.C6LUT,SLICE_X30Y241,CLBLM_L_X20Y241,81,482,,,,,,1,0
111786,u/s7/mem3/g_async_distributed.mem_reg_0_1_6_11/RAMD,RAMS32,SLICE_X30Y241,SLICEM.D5LUT,SLICE_X30Y241,CLBLM_L_X20Y241,81,482,,,,,,1,0
111787,u/s7/mem3/g_async_distributed.mem_reg_0_1_6_11/RAMD_D1,RAMS32,SLICE_X30Y241,SLICEM.D6LUT,SLICE_X30Y241,CLBLM_L_X20Y241,81,482,,,,,,1,0
111788,u/s7/mem3/g_async_distributed.mem_reg_0_1_72_77/RAMA,RAMD32,SLICE_X30Y249,SLICEM.A5LUT,SLICE_X30Y249,CLBLM_L_X20Y249,81,498,,,,,,1,0
111789,u/s7/mem3/g_async_distributed.mem_reg_0_1_72_77/RAMA_D1,RAMD32,SLICE_X30Y249,SLICEM.A6LUT,SLICE_X30Y249,CLBLM_L_X20Y249,81,498,,,,,,1,0
111790,u/s7/mem3/g_async_distributed.mem_reg_0_1_72_77/RAMB,RAMD32,SLICE_X30Y249,SLICEM.B5LUT,SLICE_X30Y249,CLBLM_L_X20Y249,81,498,,,,,,1,0
111791,u/s7/mem3/g_async_distributed.mem_reg_0_1_72_77/RAMB_D1,RAMD32,SLICE_X30Y249,SLICEM.B6LUT,SLICE_X30Y249,CLBLM_L_X20Y249,81,498,,,,,,1,0
111792,u/s7/mem3/g_async_distributed.mem_reg_0_1_72_77/RAMC,RAMD32,SLICE_X30Y249,SLICEM.C5LUT,SLICE_X30Y249,CLBLM_L_X20Y249,81,498,,,,,,1,0
111793,u/s7/mem3/g_async_distributed.mem_reg_0_1_72_77/RAMC_D1,RAMD32,SLICE_X30Y249,SLICEM.C6LUT,SLICE_X30Y249,CLBLM_L_X20Y249,81,498,,,,,,1,0
111794,u/s7/mem3/g_async_distributed.mem_reg_0_1_72_77/RAMD,RAMS32,SLICE_X30Y249,SLICEM.D5LUT,SLICE_X30Y249,CLBLM_L_X20Y249,81,498,,,,,,1,0
111795,u/s7/mem3/g_async_distributed.mem_reg_0_1_72_77/RAMD_D1,RAMS32,SLICE_X30Y249,SLICEM.D6LUT,SLICE_X30Y249,CLBLM_L_X20Y249,81,498,,,,,,1,0
111796,u/s7/u_apply/GND,GND,,,,,,,,,,,,0,0
111797,u/s7/u_apply/VCC,VCC,,,,,,,,,,,,0,0
111798,u/s7/u_apply/d0i[0]_INST_0,LUT5,SLICE_X63Y271,SLICEL.A6LUT,SLICE_X63Y271,CLBLM_R_X43Y271,183,542,,,,,,1,0
111799,u/s7/u_apply/d0i[10]_INST_0,LUT5,SLICE_X62Y273,SLICEM.A6LUT,SLICE_X62Y273,CLBLM_R_X43Y273,181,546,,,,,,1,0
111800,u/s7/u_apply/d0i[11]_INST_0,LUT5,SLICE_X63Y273,SLICEL.A6LUT,SLICE_X63Y273,CLBLM_R_X43Y273,183,546,,,,,,1,0
111801,u/s7/u_apply/d0i[11]_INST_0_i_1,CARRY4,SLICE_X59Y273,SLICEL.CARRY4,SLICE_X59Y273,CLBLM_L_X40Y273,171,546,,,,,,1,0
