unit_id,hier_cell,ref_name,loc,bel,site,tile,grid_x,grid_y,stage_id,module_role,data_role,ecc_codeword_rule,ecc_symbol_rule,is_used,is_shared
111883,u/s7/u_apply/d0i[32]_INST_0,LUT5,SLICE_X59Y280,SLICEL.B6LUT,SLICE_X59Y280,CLBLM_L_X40Y280,171,560,,,,,,1,0
111884,u/s7/u_apply/d0i[33]_INST_0,LUT5,SLICE_X61Y279,SLICEL.B6LUT,SLICE_X61Y279,CLBLM_L_X42Y279,179,558,,,,,,1,0
111885,u/s7/u_apply/d0i[34]_INST_0,LUT5,SLICE_X59Y280,SLICEL.C6LUT,SLICE_X59Y280,CLBLM_L_X40Y280,171,560,,,,,,1,0
111886,u/s7/u_apply/d0i[34]_INST_0_i_1,CARRY4,SLICE_X59Y279,SLICEL.CARRY4,SLICE_X59Y279,CLBLM_L_X40Y279,171,558,,,,,,1,0
111887,u/s7/u_apply/d0i[34]_INST_0_i_10,LUT1,SLICE_X55Y279,SLICEL.C6LUT,SLICE_X55Y279,CLBLM_R_X37Y279,159,558,,,,,,1,0
111888,u/s7/u_apply/d0i[34]_INST_0_i_11,LUT1,SLICE_X55Y279,SLICEL.B6LUT,SLICE_X55Y279,CLBLM_R_X37Y279,159,558,,,,,,1,0
111889,u/s7/u_apply/d0i[34]_INST_0_i_12,LUT1,SLICE_X55Y279,SLICEL.A6LUT,SLICE_X55Y279,CLBLM_R_X37Y279,159,558,,,,,,1,0
111890,u/s7/u_apply/d0i[34]_INST_0_i_2,LUT6,SLICE_X59Y279,SLICEL.C6LUT,SLICE_X59Y279,CLBLM_L_X40Y279,171,558,,,,,,1,0
111891,u/s7/u_apply/d0i[34]_INST_0_i_3,LUT6,SLICE_X59Y279,SLICEL.B6LUT,SLICE_X59Y279,CLBLM_L_X40Y279,171,558,,,,,,1,0
111892,u/s7/u_apply/d0i[34]_INST_0_i_4,LUT6,SLICE_X59Y279,SLICEL.A6LUT,SLICE_X59Y279,CLBLM_L_X40Y279,171,558,,,,,,1,0
111893,u/s7/u_apply/d0i[34]_INST_0_i_5,CARRY4,SLICE_X55Y280,SLICEL.CARRY4,SLICE_X55Y280,CLBLM_R_X37Y280,159,560,,,,,,1,0
111894,u/s7/u_apply/d0i[34]_INST_0_i_6,CARRY4,SLICE_X55Y279,SLICEL.CARRY4,SLICE_X55Y279,CLBLM_R_X37Y279,159,558,,,,,,1,0
111895,u/s7/u_apply/d0i[34]_INST_0_i_7,LUT1,SLICE_X55Y280,SLICEL.B6LUT,SLICE_X55Y280,CLBLM_R_X37Y280,159,560,,,,,,1,0
