trial,k,category,site_row
15,5,MISCORRECTION,8:3:0:0;4:1:0:12;1:4:0:20;2:0:1:19;5:5:1:13
25,5,MISCORRECTION,1:4:0:11;2:0:1:15;5:5:1:7;6:2:1:22;7:3:1:1
67,5,MISCORRECTION,5:4:1:11;6:0:0:15;7:5:0:7;3:2:0:22;8:3:0:1
183,5,MISCORRECTION,8:3:0:0;4:1:0:12;1:4:0:20;2:0:1:19;5:5:1:13
193,5,MISCORRECTION,1:4:0:11;2:0:1:15;5:5:1:7;6:2:1:22;7:3:1:1
